BygningAnvendelsesKode_Value,BygningOpfoerelsesaar_Value,BygningSamletBoligAreal_Value,BygningVarmeinstallation_Value,EnhedAntalVaerelser_Value
140,1917,305,7,1
140,1917,305,7,1
130,1963,102,2,4
140,1750,509,2,2
140,1750,509,2,5
140,1750,509,2,2
140,1750,509,2,4
140,1750,509,2,2
130,1977,102,2,4
130,1976,108,1,4
130,1973,146,2,5
130,1982,138,1,2
130,1965,117,2,4
130,1887,105,2,3
130,1997,102,1,2
140,1954,1431,2,4
140,1954,1431,2,3
140,1954,1431,2,4
140,1954,1431,2,2
140,1954,1431,2,4
140,1954,1431,2,3
140,1954,1431,2,3
140,1954,1431,2,3
140,1954,1431,2,2
140,1954,1431,2,2
140,1954,1431,2,4
140,1954,1431,2,3
140,1954,1431,2,4
140,1954,1431,2,2
130,2004,130,1,4
130,1921,100,1,5
130,1978,183,1,4
140,1972,2700,1,2
140,1972,2700,1,2
140,1972,2700,1,2
140,1972,2700,1,3
140,1972,2700,1,3
140,1972,2700,1,3
140,1972,2700,1,3
140,1972,2700,1,3
140,1972,2700,1,3
140,1972,2700,1,2
140,1972,2700,1,2
140,1972,2700,1,3
140,1972,2700,1,3
140,1972,2700,1,3
140,1972,2700,1,3
140,1972,2700,1,3
140,1972,2700,1,3
140,1972,2700,1,2
140,1972,2700,1,3
140,1972,2700,1,3
140,1972,2700,1,3
140,1972,2700,1,3
140,1972,2700,1,3
140,1972,2700,1,2
140,1972,2700,1,2
140,1972,2700,1,2
140,1972,2700,1,1
140,1972,2700,1,3
140,1972,2700,1,3
140,1972,2700,1,3
140,1972,2700,1,3
140,1972,2700,1,3
140,1972,2700,1,3
140,1938,224,1,2
140,1938,224,1,2
140,1938,224,1,2
140,1938,224,1,2
130,1988,670,2,4
130,1988,670,2,3
130,1988,670,2,2
130,1988,670,2,4
130,1988,670,2,3
130,1988,670,2,2
140,1959,958,2,4
140,1959,958,2,3
140,1959,958,2,3
140,1959,958,2,2
140,1959,958,2,4
140,1959,958,2,3
140,1959,958,2,3
140,1959,958,2,2
130,1998,133,1,3
130,1982,160,1,7
130,1977,196,7,4
130,1977,196,7,3
130,1997,128,2,3
130,1727,160,2,7
140,1902,253,2,3
140,1902,253,2,5
140,1800,193,2,3
140,1800,193,2,5
140,1800,193,2,3
140,1969,2618,1,2
140,1969,2618,1,3
140,1969,2618,1,3
140,1969,2618,1,2
140,1969,2618,1,3
140,1969,2618,1,3
140,1969,2618,1,3
140,1969,2618,1,3
140,1969,2618,1,2
140,1969,2618,1,4
140,1969,2618,1,3
140,1969,2618,1,2
140,1969,2618,1,2
140,1969,2618,1,3
140,1969,2618,1,3
130,1982,252,1,3
140,1894,154,2,4
140,1894,154,2,4
190,1925,76,2,3
140,1897,606,2,3
140,1897,606,2,2
140,1897,606,2,2
140,1897,606,2,2
140,1897,606,2,3
140,1897,606,2,2
130,1969,117,7,4
130,1964,156,2,3
130,1964,156,2,3
130,1977,108,1,4
130,1974,132,7,4
140,1920,297,2,3
140,1920,297,2,2
140,1920,297,2,2
140,1920,297,2,1
130,1956,232,2,4
130,1953,93,2,5
140,1900,208,1,5
140,1900,208,1,2
140,1900,208,1,2
140,1924,264,1,2
140,1924,264,1,1
140,1924,264,1,3
140,1924,264,1,1
130,1962,141,2,6
130,2000,131,1,5
130,1962,99,1,4
140,1982,156,7,2
140,1982,156,7,2
140,1900,554,1,3
140,1900,554,1,4
140,1900,554,1,3
140,1900,554,1,4
140,1900,554,1,3
140,1900,554,1,3
140,1900,554,1,4
130,1982,144,1,5
140,1969,2745,1,2
140,1969,2745,1,2
140,1969,2745,1,3
140,1969,2745,1,4
140,1969,2745,1,3
140,1969,2745,1,3
140,1969,2745,1,2
140,1969,2745,1,5
140,1969,2745,1,3
140,1969,2745,1,4
140,1969,2745,1,3
140,1969,2745,1,3
140,1969,2745,1,3
140,1969,2745,1,2
140,1969,2745,1,3
140,1969,2745,1,3
140,1969,2745,1,2
140,1969,2745,1,5
140,1969,2745,1,3
140,1969,2745,1,4
140,1969,2745,1,4
130,1973,192,1,5
140,1951,1500,2,4
140,1951,1500,2,4
140,1951,1500,2,3
140,1951,1500,2,4
140,1951,1500,2,3
140,1951,1500,2,4
140,1951,1500,2,4
140,1951,1500,2,3
140,1951,1500,2,4
140,1951,1500,2,3
140,1951,1500,2,4
140,1951,1500,2,4
140,1951,1500,2,3
140,1951,1500,2,4
140,1951,1500,2,3
130,1964,102,2,3
130,1959,92,1,4
140,1929,408,2,2
140,1929,408,2,3
140,1929,408,2,2
140,1929,408,2,2
140,1929,408,2,3
140,1929,408,2,3
140,1918,212,3,2
140,1918,212,3,2
130,1975,124,7,5
130,1979,183,1,5
140,1982,384,2,2
140,1982,384,2,1
140,1982,384,2,1
140,1982,384,2,3
140,1982,384,2,3
130,1987,114,2,4
140,1800,587,1,5
140,1800,587,1,4
140,1800,587,1,2
140,1800,587,1,3
140,1800,587,1,3
140,1800,587,1,4
130,2009,109,1,4
140,1749,272,2,3
140,1749,272,2,2
140,1749,272,2,2
140,1749,272,2,2
130,1998,113,1,4
130,1971,127,1,6
130,2008,111,1,4
140,1998,264,1,1
140,1998,264,1,2
140,1998,264,1,1
140,1998,264,1,1
140,1998,264,1,1
140,1998,264,1,1
140,1998,264,1,1
140,1998,264,1,1
140,1998,264,1,1
140,1998,264,1,1
140,1924,240,1,2
140,1924,240,1,3
130,1982,206,1,2
130,1982,206,1,2
130,1983,105,7,4
140,1990,516,2,3
130,1963,80,2,4
130,2002,86,1,3
130,1992,206,2,3
130,1992,206,2,2
140,1903,235,2,4
140,1903,235,2,5
130,1950,123,2,4
130,2005,121,1,4
140,1895,452,2,5
140,1895,452,2,5
130,1981,118,7,5
130,1965,117,2,4
130,1970,1944,1,3
130,1970,1944,1,2
130,1970,1944,1,1
140,1937,552,2,5
140,1937,552,2,5
140,1937,552,2,4
140,1937,552,2,4
130,1961,121,1,6
130,1967,215,2,5
130,1967,215,2,6
130,2007,148,2,5
140,1990,242,2,2
140,1990,242,2,2
140,1963,160,1,3
130,1991,122,1,2
130,1973,155,1,6
130,1965,125,2,5
130,1940,125,2,4
130,1795,105,2,5
140,1726,170,3,2
140,1726,170,3,2
130,1962,112,1,5
140,1940,615,1,1
140,1940,615,1,2
140,1940,615,1,1
140,1940,615,1,2
140,1940,615,1,2
140,1940,615,1,2
140,1940,615,1,2
140,1940,615,1,1
140,1940,615,1,2
140,1940,615,1,2
140,1940,615,1,2
140,1940,615,1,2
140,1940,615,1,1
130,1976,108,1,4
140,1825,194,2,3
140,1825,194,2,2
130,1973,146,1,4
130,2009,109,1,4
130,1974,142,1,4
130,1981,120,1,4
140,1933,228,2,2
140,1933,228,2,2
140,1933,228,2,2
140,1933,228,2,2
130,1982,106,1,3
140,1996,662,2,4
140,1996,662,2,4
140,1996,662,2,3
130,2004,130,1,4
130,1978,102,2,4
130,2000,110,1,3
140,1900,169,2,3
140,1900,169,2,3
130,2006,96,2,3
140,1902,495,3,1
140,1902,495,3,2
140,1902,495,3,2
